Month,PR Number,Order Date,Vendor,Product Name,Variant,SKU Suffix,SKU,Qty
"May 2026","PR-0029","2026-05-22","Entout Co.","AeroPod | Luxury Pet Carrier Bag | Airline-Friendly Design","Beige","AEROPOD-BEIGE","TH-072-AEROPOD-BEIGE",1
"May 2026","PR-0014","2026-05-22","Pupscribe Enterprises Pvt Ltd","AeroShell Backpack – Protective Pet Travel Carrier with Comfort Fit","Default Title","AEROSHELLBAG","TH-203-AEROSHELLBAG",1
"May 2026","PR-0012","2026-05-22","Kut Kut Pet Care and Accessories Pvt Ltd","AirTrek Boots | Protective, Non-Slip Pawwear | All-Weather Comfort","S","AIRTREKBOO-S","TH-200-AIRTREKBOO-S",2
"May 2026","PR-0012","2026-05-22","Kut Kut Pet Care and Accessories Pvt Ltd","AirTrek Boots | Protective, Non-Slip Pawwear | All-Weather Comfort","M","AIRTREKBOO-M","TH-200-AIRTREKBOO-M",5
"May 2026","PR-0012","2026-05-22","Kut Kut Pet Care and Accessories Pvt Ltd","AirTrek Boots | Protective, Non-Slip Pawwear | All-Weather Comfort","L","AIRTREKBOO-L","TH-200-AIRTREKBOO-L",5
"May 2026","PR-0012","2026-05-22","Kut Kut Pet Care and Accessories Pvt Ltd","AirTrek Boots | Protective, Non-Slip Pawwear | All-Weather Comfort","XL","AIRTREKBOO-XL","TH-200-AIRTREKBOO-XL",3
"May 2026","PR-0012","2026-05-22","Kut Kut Pet Care and Accessories Pvt Ltd","AirTrek Boots | Protective, Non-Slip Pawwear | All-Weather Comfort","XXL","AIRTREKBOO-XXL","TH-200-AIRTREKBOO-XXL",6
"May 2026","PR-0027","2026-05-22","Kara Creations","All Rounder Grooming Kit","Default Title","ALLGRO","TH-039-ALLGRO",9
"May 2026","PR-0028","2026-05-22","Drontika India","Aloe Fresh Deodorant | Alcohol-Free | Gentle, Long-Lasting Freshness for Dogs & Cats","Default Title","ALOEDEO","TH-080-ALOEDEO",47
"May 2026","PR-0022","2026-05-22","PawsSamrat Pet Products","AlphaView Pet Shades – Cool, Comfy Eyewear for Stylish Outdoor Dogs","Black","ALPHAVIEW-1","TH-100-ALPHAVIEW-1",22
"May 2026","PR-0037","2026-05-22","Snowdrop Creations","Apple Grove Shirt – Stylish Cotton Outfit for Summer","XS","APPLESHIRT-XS","TH-354-APPLESHIRT-XS",15
"May 2026","PR-0037","2026-05-22","Snowdrop Creations","Apple Grove Shirt – Stylish Cotton Outfit for Summer","S","APPLESHIRT-S","TH-354-APPLESHIRT-S",15
"May 2026","PR-0037","2026-05-22","Snowdrop Creations","Apple Grove Shirt – Stylish Cotton Outfit for Summer","M","APPLESHIRT-M","TH-354-APPLESHIRT-M",17
"May 2026","PR-0037","2026-05-22","Snowdrop Creations","Apple Grove Shirt – Stylish Cotton Outfit for Summer","L","APPLESHIRT-L","TH-354-APPLESHIRT-L",17
"May 2026","PR-0037","2026-05-22","Snowdrop Creations","Apple Grove Shirt – Stylish Cotton Outfit for Summer","XL","APPLESHIRT-XL","TH-354-APPLESHIRT-XL",15
"May 2026","PR-0037","2026-05-22","Snowdrop Creations","Apple Grove Shirt – Stylish Cotton Outfit for Summer","XXL","APPLESHIRT-XXL","TH-354-APPLESHIRT-XXL",15
"May 2026","PR-0066","2026-05-19","Shree Radhe International","Aqua Care Shower | Pet Shower Head | Bathing & Grooming Tool","Default Title","AQCASHO","TH-005-AQCASHO",5
"May 2026","PR-0030","2026-05-22","Foodie Puppies Group","Aqua Care Shower | Pet Shower Head | Bathing & Grooming Tool","Default Title","AQCASHO","TH-005-AQCASHO",6
"May 2026","PR-0035","2026-05-22","District99","ARCO","Default Title","ARCO","URTH-001-ARCO",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 14","ARCTICFUNKJACKET-14","TH-250-ARCTICFUNKJACKET-14",4
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 16","ARCTICFUNKJACKET-16","TH-250-ARCTICFUNKJACKET-16",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 18","ARCTICFUNKJACKET-18","TH-250-ARCTICFUNKJACKET-18",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 20","ARCTICFUNKJACKET-20","TH-250-ARCTICFUNKJACKET-20",5
"May 2026","PR-0016","2026-05-22","Shree Radhe International","ArcticFunk Jacket – Windproof, Cosy & Everyday Winter Wear for Pets","Red × 22","ARCTICFUNKJACKET-22","TH-250-ARCTICFUNKJACKET-22",4
